0,0
896,0
896,585
0,585

12,281
12,207
58,130
78,170
72,210
60,259

90,103
49,67
83,28
197,68
179,137

114,179
132,203
151,174
143,152
127,161

80,305
117,316
139,291
122,241
104,220

34,369
65,421
111,425
123,404
74,350
30,323

155,324
199,325
241,326
247,353
228,376
192,372

149,364
172,390
153,416

67,483
132,500
159,480
138,439
89,450

292,465
262,412
238,470
300,544

343,539
352,511
395,503
417,535
374,553

464,557
460,517
488,495
535,514

584,541
587,506
550,474
569,434
645,464
637,514

495,463
512,365
534,366
536,393
529,439

402,449
358,424
358,387
426,390
463,402
466,452

389,370
381,329
408,299
429,334
429,362

302,363
272,312
288,269
318,301
350,325
346,341

363,294
336,275
333,250
361,245
387,264
388,288

189,257
205,186
235,164
265,187

272,226
326,185
380,187
384,213
360,223
318,223

306,65
274,44
250,90
235,130
280,147

343,127
326,102
368,80
398,118

434,150
411,173
423,208
458,217
471,193

476,232
492,267
522,297
565,291
574,254

652,287
623,310
630,366
668,415
690,373

711,448
735,414
792,443
794,478
776,494
733,514

791,538
836,495
871,502
880,533
869,546

820,390
794,368
794,308
833,271
876,307

706,300
692,261
723,232
754,224
773,254
742,314

808,238
782,189
827,139
864,170
866,225

606,223
593,164
647,157
681,204
643,244

504,124
501,67
545,79
542,189

578,131
579,56
597,36
634,52
637,90
620,138

762,170
776,123
743,85
710,47
676,91
668,143
714,190

802,120
794,80
809,89
814,110

836,96
858,93
862,119
842,118

754,55
735,20
780,20
798,32
814,43
825,64

454,86
483,40
470,18
439,18
396,34

443,121
469,155
480,136
467,113

248,17
165,10
205,41

16,132
15,55
39,108
