0,0
898,0
898,581
0,581

67,519
48,493
66,368
87,399
99,443

111,229
78,213
83,263
116,285

161,349
204,387
164,433
182,482
238,476
275,378
250,304

342,112
218,93
177,138
178,187
276,224

389,179
377,223
381,332
423,207

499,303
494,236
547,254

319,413
363,448
414,380
342,336

519,461
447,492
616,556
648,499

715,472
711,402
695,332
742,287
782,352
806,485

805,234
759,209
765,150
817,162
834,195
862,237

697,192
736,92
709,44
668,96
666,162

525,150
501,99
547,70
581,107
565,161

417,65
394,10
455,19
479,70

85,36
19,10
20,62
59,176

139,119
161,104
170,83
174,57
180,27
129,31
116,123

261,39
275,15
337,29
328,67
300,76

420,138
451,109
475,127
468,156
443,170

190,533
298,554
348,514

507,391
610,326
638,396
565,404

8,15
9,26
13,19
10,6

314,575
326,564
350,562
370,567
362,574
337,573
