0,0
1084,0
1084, 706
0,706


377,347
384,385
420,420
442,449
451,483
499,508
506,510
579,455
606,393
593,356
542,299
502,271
450,262
407,274
387,300
377,323

696,629
714,653
794,648
854,618
879,559
852,511
812,463
853,387
880,352
894,299
865,257
783,212
693,217
650,247
642,288
679,337
704,385
687,429
687,506
691,590

558,90
540,83
464,84
356,83
217,105
175,150
192,185
226,179
337,154
412,127
471,150
545,131
588,115

760,169
789,167
829,141
884,139
914,156
950,181
991,206
1004,163
989,94
961,72
890,35
832,30
774,52
744,103
750,136

933,453
915,480
926,504
966,515
991,503
1012,466
996,409
978,391
949,400
944,439

236,430
230,392
202,326
180,278
164,235
153,185
162,132
156,58
127,50
77,96
77,149
112,209
138,265
139,335
135,384
181,455
201,451
226,441

271,308
269,330
271,363
296,372
321,348
353,291
357,258
317,226
283,270
274,287

585,171
608,189
644,173
676,121
646,113
607,152
