3,6
1079,6
1079,705
3,705

2,652
12,650
23,643
27,631
38,631
53,637
65,633
75,616
90,593
103,578
458,552
462,539
453,536
448,539
149,562
149,553
302,520
303,513
296,511
294,504
296,502
297,496
275,498
276,505
285,505
288,516
148,543
147,535
167,520
185,329
244,331
244,322
241,318
179,312
195,300
212,267
212,246
202,246
199,252
194,269
183,288
154,306
111,300
98,279
100,265
97,256
106,255
108,248
98,244
112,222
133,183
144,170
162,163
177,154
177,185
180,208
188,232
199,229
193,215
185,181
185,146
219,139
248,135
269,124
298,124
328,103
363,84
378,70
406,56
428,53
454,50
480,56
505,57
521,80
528,98
527,108
597,152
620,187
631,264
636,284
650,321
652,354
638,373
648,380
658,364
702,388
676,437
602,392
592,411
595,421
642,452
661,448
671,453
645,492
650,500
667,477
710,502
714,524
526,596
528,607
715,536
803,522
814,526
810,532
819,539
838,541
837,531
841,521
846,531
854,538
865,531
876,514
873,506
863,495
867,480
863,468
865,459
869,446
860,435
881,425
887,414
898,410
912,420
927,414
931,424
943,420
972,415
984,409
1001,398
1006,380
1007,362
970,383
974,371
963,359
969,328
967,197
987,184
991,174
1011,174
1051,141
1082,107
1080,3
3,3
2,7
1,638

317,405
308,377
345,333
395,331
385,372
343,406

539,509
521,461
546,449
570,495
569,526
